Light curve of GRB : bn081224887
Energy range : 50 to 300 keV
Trigger time (MET s) : 251846276.414
Tstart (s)	Counts/s
-4.7277780354163035	3906.25
-4.663773970000658	4515.625
-4.59976990458501	4062.5
-4.535765839169361	3828.125
-4.471761773753716	4406.25
-4.4077577083380675	4281.25
-4.343753642922422	4125.0
-4.279749577506774	4468.75
-4.215745512091125	4562.5
-4.15174144667548	4203.125
-4.087737381259831	4187.5
-4.023733315844186	4406.25
-3.9597292504285377	4406.25
-3.895725185012889	4406.25
-3.831721119597244	4000.0
-3.7677170541815954	4812.5
-3.7037129887659503	4281.25
-3.6397089233503017	3968.75
-3.575704857934653	4812.5
-3.511700792519008	4734.375
-3.4476967271033594	4328.125
-3.3836926616877108	4484.375
-3.3196885962720657	3953.125
-3.255684530856417	4046.875
-3.191680465440772	3859.375
-3.1276764000251234	3875.0
-3.0636723346094747	4390.625
-2.9996682691938297	4734.375
-2.935664203778181	4281.25
-2.871660138362536	4437.5
-2.8076560729468873	4203.125
-2.7436520075312387	4031.25
-2.6796479421155937	4359.375
-2.615643876699945	4234.375
-2.5516398112843	4312.5
-2.4876357458686513	4453.125
-2.4236316804530027	4156.25
-2.3596276150373576	4343.75
-2.295623549621709	4703.125
-2.2316194842060604	3687.5
-2.1676154187904153	3968.75
-2.1036113533747667	4421.875
-2.0396072879591216	3906.25
-1.975603222543473	4437.5
-1.9115991571278244	4343.75
-1.8475950917121793	4000.0
-1.7835910262965307	3968.75
-1.7195869608808856	4234.375
-1.655582895465237	4218.75
-1.5915788300495883	4265.625
-1.5275747646339433	3828.125
-1.4635706992182946	4203.125
-1.3995666338026496	4000.0
-1.335562568387001	4375.0
-1.2715585029713523	4312.5
-1.2075544375557072	4109.375
-1.1435503721400586	4250.0
-1.0795463067244135	4546.875
-1.015542241308765	4031.25
-0.9515381758931163	4078.125
-0.8875341104774712	4406.25
-0.8235300450618226	3812.5
-0.759525979646174	4421.875
-0.6955219142305289	4140.625
-0.6315178488148803	4250.0
-0.5675137833992352	4546.875
-0.5035097179835866	4390.625
-0.43950565256793794	4312.5
-0.37550158715229287	4859.375
-0.31149752173664425	3781.25
-0.24749345632099917	4484.375
-0.18348939090535055	5515.625
-0.11948532548970192	5296.875
-0.05548126007405685	6171.875
0.008522805341591777	6796.875
0.07252687075723685	7640.625
0.13653093617288548	7312.5
0.2005350015885341	7515.625
0.2645390670041792	8296.875
0.3285431324198278	9375.0
0.3925471978354764	9531.25
0.4565512632511215	9640.625
0.5205553286667701	9937.5
0.5845593940824152	10609.375
0.6485634594980638	10312.5
0.7125675249137124	10468.75
0.7765715903293575	11781.25
0.8405756557450061	10750.0
0.9045797211606512	12140.625
0.9685837865762998	10828.125
1.0325878519919485	11234.375
1.0965919174075935	10531.25
1.1605959828232422	11437.5
1.2246000482388872	10781.25
1.2886041136545359	12515.625
1.3526081790701845	11890.625
1.4166122444858296	12187.5
1.4806163099014782	12125.0
1.5446203753171233	11906.25
1.6086244407327719	11796.875
1.6726285061484205	11796.875
1.7366325715640656	13328.125
1.8006366369797142	12921.875
1.8646407023953628	12750.0
1.928644767811008	13062.5
1.9926488332266565	12812.5
2.0566528986423016	12968.75
2.1206569640579502	12718.75
2.184661029473599	13328.125
2.248665094889244	13328.125
2.3126691603048926	13234.375
2.3766732257205376	13796.875
2.4406772911361863	13093.75
2.504681356551835	13437.5
2.56868542196748	13828.125
2.6326894873831286	13656.25
2.6966935527987737	14234.375
2.7606976182144223	13453.125
2.824701683630071	13390.625
2.888705749045716	12421.875
2.9527098144613646	12906.25
3.0167138798770097	12828.125
3.0807179452926583	12906.25
3.144722010708307	12406.25
3.208726076123952	11656.25
3.2727301415396006	12296.875
3.3367342069552492	12500.0
3.4007382723708943	13062.5
3.464742337786543	12140.625
3.528746403202188	12312.5
3.5927504686178366	11546.875
3.6567545340334853	12015.625
3.7207585994491303	11187.5
3.784762664864779	11250.0
3.848766730280424	10734.375
3.9127707956960727	10421.875
3.9767748611117213	10890.625
4.040778926527366	10968.75
4.104782991943015	10562.5
4.16878705735866	10671.875
4.232791122774309	10593.75
4.296795188189957	10406.25
4.360799253605602	9937.5
4.424803319021251	9515.625
4.488807384436896	11078.125
4.552811449852545	9828.125
4.616815515268193	9203.125
4.680819580683838	8578.125
4.744823646099487	9421.875
4.808827711515136	8265.625
4.872831776930781	8484.375
4.936835842346429	8437.5
5.000839907762074	8328.125
5.064843973177723	8906.25
5.128848038593372	8093.75
5.192852104009017	8406.25
5.256856169424665	9203.125
5.3208602348403105	8578.125
5.384864300255959	8203.125
5.448868365671608	8109.375
5.512872431087253	7765.625
5.576876496502901	8218.75
5.6408805619185465	8000.0
5.704884627334195	7781.25
5.76888869274984	8062.5
5.832892758165492	8125.0
5.896896823581137	7343.75
5.9609008889967825	7671.875
6.024904954412435	7453.125
6.08890901982808	7343.75
6.152913085243725	7343.75
6.21691715065937	7140.625
6.280921216075022	8140.625
6.344925281490667	7453.125
6.408929346906312	7593.75
6.472933412321964	7125.0
6.5369374777376095	7062.5
6.6009415431532545	6734.375
6.664945608568907	7234.375
6.728949673984552	7328.125
6.792953739400197	7328.125
6.856957804815849	7265.625
6.920961870231494	6593.75
6.984965935647139	6515.625
7.048970001062784	7000.0
7.112974066478436	6500.0
7.1769781318940815	6312.5
7.240982197309727	6375.0
7.304986262725379	6781.25
7.368990328141024	6796.875
7.432994393556669	7140.625
7.496998458972321	6500.0
7.561002524387966	6859.375
7.625006589803611	6468.75
7.689010655219256	6078.125
7.7530147206349085	6234.375
7.817018786050554	5984.375
7.881022851466199	6031.25
7.945026916881851	6250.0
8.009030982297496	6468.75
8.073035047713141	6218.75
8.137039113128793	5812.5
8.201043178544438	5609.375
8.265047243960083	5921.875
8.329051309375735	6015.625
8.39305537479138	5906.25
8.457059440207026	5484.375
8.52106350562267	4890.625
8.585067571038323	5546.875
8.649071636453968	5375.0
8.713075701869613	5609.375
8.777079767285265	5515.625
8.84108383270091	5312.5
8.905087898116555	5609.375
8.969091963532208	5453.125
9.033096028947853	6031.25
9.097100094363498	5656.25
9.161104159779143	5500.0
9.225108225194795	5234.375
9.28911229061044	5515.625
9.353116356026085	5859.375
9.417120421441737	5890.625
9.481124486857382	5640.625
9.545128552273027	5750.0
9.60913261768868	5812.5
9.673136683104325	5406.25
9.73714074851997	5562.5
9.801144813935622	5781.25
9.865148879351267	5609.375
9.929152944766912	5531.25
9.993157010182557	5640.625
10.05716107559821	6234.375
10.121165141013854	5468.75
10.1851692064295	5890.625
10.249173271845152	6140.625
10.313177337260797	5718.75
10.377181402676442	5890.625
10.441185468092094	5656.25
10.505189533507739	5640.625
10.569193598923384	5546.875
10.633197664339036	5593.75
10.697201729754681	5125.0
10.761205795170326	4968.75
10.825209860585971	5750.0
10.889213926001624	5562.5
10.953217991417269	4562.5
11.017222056832914	5375.0
11.081226122248566	5421.875
11.145230187664211	5296.875
11.209234253079856	4656.25
11.273238318495508	5515.625
11.337242383911153	5515.625
11.401246449326798	4984.375
11.465250514742443	5453.125
11.529254580158096	4812.5
11.59325864557374	4968.75
11.657262710989386	5078.125
11.721266776405038	5515.625
11.785270841820683	4843.75
11.849274907236328	4812.5
11.91327897265198	5156.25
11.977283038067625	4765.625
12.04128710348327	5281.25
12.105291168898923	4765.625
12.169295234314568	4968.75
12.233299299730213	4703.125
12.297303365145858	5000.0
12.36130743056151	5046.875
12.425311495977155	4921.875
12.4893155613928	4734.375
12.553319626808452	4390.625
12.617323692224097	4671.875
12.681327757639743	4687.5
12.745331823055395	4750.0
12.80933588847104	4500.0
12.873339953886685	4765.625
12.93734401930233	4812.5
13.001348084717982	4812.5
13.065352150133627	4437.5
13.129356215549272	4937.5
13.193360280964924	4734.375
13.25736434638057	4687.5
13.321368411796215	4953.125
13.385372477211867	5000.0
13.449376542627512	4703.125
13.513380608043157	4953.125
13.577384673458809	4359.375
13.641388738874454	4593.75
13.7053928042901	4656.25
13.769396869705744	5078.125
13.833400935121396	4312.5
13.897405000537042	4593.75
13.961409065952687	4437.5
14.025413131368339	4718.75
14.089417196783984	4750.0
14.153421262199629	4640.625
14.217425327615281	4406.25
14.281429393030926	4343.75
14.345433458446571	4781.25
14.409437523862216	4625.0
14.473441589277869	4234.375
14.537445654693514	5390.625
14.601449720109159	4328.125
14.66545378552481	4671.875
14.729457850940456	4078.125
14.793461916356101	4203.125
14.857465981771753	4687.5
14.921470047187398	4296.875
14.985474112603043	4593.75
15.049478178018695	5296.875
15.11348224343434	5109.375
15.177486308849986	4296.875
15.24149037426563	4718.75
15.305494439681283	4312.5
15.369498505096928	4125.0
15.433502570512573	4750.0
15.497506635928225	3859.375
15.56151070134387	4531.25
15.625514766759515	4906.25
15.689518832175168	5109.375
15.753522897590813	5140.625
15.817526963006458	4750.0
15.881531028422103	5468.75
15.945535093837755	4921.875
16.0095391592534	5359.375
16.073543224669045	4640.625
16.137547290084697	4750.0
16.201551355500342	4703.125
16.265555420915987	4515.625
16.32955948633164	4687.5
16.393563551747285	4343.75
16.45756761716293	4515.625
16.521571682578582	4578.125
16.585575747994227	4609.375
16.649579813409872	4734.375
16.713583878825517	5046.875
16.77758794424117	4859.375
16.841592009656814	5125.0
16.90559607507246	4703.125
16.96960014048811	4484.375
17.033604205903757	5140.625
17.0976082713194	4468.75
17.161612336735054	4796.875
17.2256164021507	4578.125
17.289620467566344	4468.75
17.35362453298199	4359.375
17.41762859839764	4453.125
17.481632663813286	4703.125
17.54563672922893	4484.375
17.609640794644584	4343.75
17.67364486006023	4859.375
17.737648925475874	4343.75
17.801652990891526	4484.375
17.86565705630717	5031.25
17.929661121722816	5421.875
17.99366518713847	4640.625
18.057669252554113	4156.25
18.12167331796976	4921.875
18.185677383385404	4359.375
18.249681448801056	4828.125
18.3136855142167	4687.5
18.377689579632346	4250.0
18.441693645047998	4937.5
18.505697710463643	4265.625
18.569701775879288	4593.75
18.63370584129494	4375.0
18.697709906710585	4718.75
18.76171397212623	4328.125
18.825718037541876	4437.5
18.889722102957528	4265.625
18.953726168373173	4265.625
19.017730233788818	4171.875
19.08173429920447	5000.0
19.145738364620115	4406.25
19.20974243003576	4718.75
19.273746495451412	4703.125
19.337750560867057	4296.875
19.401754626282703	4578.125
19.465758691698355	4734.375
19.529762757114	4328.125
19.593766822529645	4406.25
19.65777088794529	4312.5
19.721774953360942	4703.125
19.785779018776587	4296.875
19.849783084192232	4562.5
19.913787149607884	4703.125
19.97779121502353	4515.625
20.041795280439175	5406.25
20.105799345854827	4296.875
20.169803411270472	4484.375
20.233807476686117	4687.5
20.29781154210177	4453.125
20.361815607517414	4203.125
20.42581967293306	4062.5
20.489823738348704	4796.875
20.553827803764356	4296.875
20.61783186918	4625.0
20.681835934595647	4343.75
20.7458400000113	4484.375
20.809844065426944	4312.5
20.87384813084259	4234.375
20.93785219625824	4156.25
21.001856261673886	4312.5
21.06586032708953	4312.5
21.129864392505176	4046.875
21.19386845792083	3812.5
21.257872523336474	4468.75
21.32187658875212	4328.125
21.38588065416777	4234.375
21.449884719583416	4312.5
21.51388878499906	4328.125
21.577892850414713	4375.0
21.64189691583036	4312.5
21.705900981246003	4359.375
21.769905046661655	4312.5
21.8339091120773	4187.5
21.897913177492946	4031.25
21.96191724290859	4500.0
22.025921308324243	4250.0
22.089925373739888	4671.875
22.153929439155533	4187.5
22.217933504571185	4828.125
22.28193756998683	4828.125
22.345941635402475	4656.25
22.409945700818128	4437.5
22.473949766233773	4515.625
22.537953831649418	4515.625
22.601957897065063	4546.875
22.665961962480715	4078.125
22.72996602789636	4453.125
22.793970093312005	4656.25
22.857974158727657	4453.125
22.921978224143302	4328.125
22.985982289558947	4312.5
23.0499863549746	4328.125
23.113990420390245	4750.0
23.17799448580589	4562.5
23.241998551221542	4562.5
23.306002616637187	4609.375
23.370006682052832	4218.75
23.434010747468477	4453.125
23.49801481288413	4250.0
