Tstart (s),Counts/s,Cumulative Sum
-9.528082941589847,4468.75,698218.75
-9.464078876174199,4609.375,702828.125
-9.400074810758554,4234.375,707062.5
-9.336070745342905,4140.625,711203.125
-9.27206667992726,3906.25,715109.375
-9.208062614511611,4078.125,719187.5
-9.144058549095963,4640.625,723828.125
-9.080054483680318,4968.75,728796.875
-9.016050418264669,4031.25,732828.125
-8.95204635284902,4062.5,736890.625
-8.888042287433375,4109.375,741000.0
-8.824038222017727,4625.0,745625.0
-8.760034156602082,4515.625,750140.625
-8.696030091186433,4609.375,754750.0
-8.632026025770784,4109.375,758859.375
-8.56802196035514,4171.875,763031.25
-8.50401789493949,4343.75,767375.0
-8.440013829523846,4406.25,771781.25
-8.376009764108197,4296.875,776078.125
-8.312005698692548,4343.75,780421.875
-8.248001633276903,4421.875,784843.75
-8.183997567861255,4515.625,789359.375
-8.11999350244561,4578.125,793937.5
-8.055989437029961,4250.0,798187.5
-7.991985371614312,4328.125,802515.625
-7.927981306198667,4250.0,806765.625
-7.863977240783019,3843.75,810609.375
-7.79997317536737,4343.75,814953.125
-7.735969109951725,3953.125,818906.25
-7.671965044536076,3953.125,822859.375
-7.607960979120431,4515.625,827375.0
-7.543956913704783,4781.25,832156.25
-7.479952848289134,4250.0,836406.25
-7.415948782873489,4406.25,840812.5
-7.35194471745784,4484.375,845296.875
-7.287940652042195,4656.25,849953.125
-7.223936586626547,4484.375,854437.5
-7.159932521210898,4500.0,858937.5
-7.095928455795253,3718.75,862656.25
-7.031924390379604,4015.625,866671.875
-6.967920324963959,4265.625,870937.5
-6.903916259548311,4140.625,875078.125
-6.839912194132662,4140.625,879218.75
-6.775908128717017,4468.75,883687.5
-6.711904063301368,4500.0,888187.5
-6.647899997885723,4375.0,892562.5
-6.5838959324700745,4203.125,896765.625
-6.519891867054426,4312.5,901078.125
-6.455887801638781,4578.125,905656.25
-6.391883736223132,4046.875,909703.125
-6.327879670807484,4671.875,914375.0
-6.2638756053918385,4671.875,919046.875
-6.19987153997619,4640.625,923687.5
-6.135867474560545,4343.75,928031.25
-6.071863409144896,4421.875,932453.125
-6.007859343729248,3984.375,936437.5
-5.9438552783136025,4656.25,941093.75
-5.879851212897954,4468.75,945562.5
-5.815847147482309,4437.5,950000.0
-5.75184308206666,4031.25,954031.25
-5.6878390166510115,4218.75,958250.0
-5.6238349512353665,4343.75,962593.75
-5.559830885819718,4218.75,966812.5
-5.495826820404073,4250.0,971062.5
-5.431822754988424,3968.75,975031.25
-5.3678186895727755,4578.125,979609.375
-5.3038146241571305,4218.75,983828.125
-5.239810558741482,4328.125,988156.25
-5.175806493325837,4203.125,992359.375
-5.111802427910188,4000.0,996359.375
-5.0477983624945395,4031.25,1000390.625
-4.983794297078894,4312.5,1004703.125
-4.919790231663246,4140.625,1008843.75
-4.855786166247597,4484.375,1013328.125
-4.791782100831952,4296.875,1017625.0
-4.7277780354163035,3906.25,1021531.25
-4.663773970000658,4515.625,1026046.875
-4.59976990458501,4062.5,1030109.375
-4.535765839169361,3828.125,1033937.5
-4.471761773753716,4406.25,1038343.75
-4.4077577083380675,4281.25,1042625.0
-4.343753642922422,4125.0,1046750.0
-4.279749577506774,4468.75,1051218.75
-4.215745512091125,4562.5,1055781.25
-4.15174144667548,4203.125,1059984.375
-4.087737381259831,4187.5,1064171.875
-4.023733315844186,4406.25,1068578.125
-3.9597292504285377,4406.25,1072984.375
-3.895725185012889,4406.25,1077390.625
-3.831721119597244,4000.0,1081390.625
-3.7677170541815954,4812.5,1086203.125
-3.7037129887659503,4281.25,1090484.375
-3.6397089233503017,3968.75,1094453.125
-3.575704857934653,4812.5,1099265.625
-3.511700792519008,4734.375,1104000.0
-3.4476967271033594,4328.125,1108328.125
-3.3836926616877108,4484.375,1112812.5
-3.3196885962720657,3953.125,1116765.625
-3.255684530856417,4046.875,1120812.5
-3.191680465440772,3859.375,1124671.875
-3.1276764000251234,3875.0,1128546.875
-3.0636723346094747,4390.625,1132937.5
-2.9996682691938297,4734.375,1137671.875
-2.935664203778181,4281.25,1141953.125
-2.871660138362536,4437.5,1146390.625
-2.8076560729468873,4203.125,1150593.75
-2.7436520075312387,4031.25,1154625.0
-2.6796479421155937,4359.375,1158984.375
-2.615643876699945,4234.375,1163218.75
-2.5516398112843,4312.5,1167531.25
-2.4876357458686513,4453.125,1171984.375
-2.4236316804530027,4156.25,1176140.625
-2.3596276150373576,4343.75,1180484.375
-2.295623549621709,4703.125,1185187.5
-2.2316194842060604,3687.5,1188875.0
-2.1676154187904153,3968.75,1192843.75
-2.1036113533747667,4421.875,1197265.625
-2.0396072879591216,3906.25,1201171.875
-1.975603222543473,4437.5,1205609.375
-1.9115991571278244,4343.75,1209953.125
-1.8475950917121793,4000.0,1213953.125
-1.7835910262965307,3968.75,1217921.875
-1.7195869608808856,4234.375,1222156.25
-1.655582895465237,4218.75,1226375.0
-1.5915788300495883,4265.625,1230640.625
-1.5275747646339433,3828.125,1234468.75
-1.4635706992182946,4203.125,1238671.875
-1.3995666338026496,4000.0,1242671.875
-1.335562568387001,4375.0,1247046.875
-1.2715585029713523,4312.5,1251359.375
-1.2075544375557072,4109.375,1255468.75
-1.1435503721400586,4250.0,1259718.75
-1.0795463067244135,4546.875,1264265.625
-1.015542241308765,4031.25,1268296.875
-0.9515381758931163,4078.125,1272375.0
-0.8875341104774712,4406.25,1276781.25
-0.8235300450618226,3812.5,1280593.75
-0.759525979646174,4421.875,1285015.625
-0.6955219142305289,4140.625,1289156.25
-0.6315178488148803,4250.0,1293406.25
-0.5675137833992352,4546.875,1297953.125
-0.5035097179835866,4390.625,1302343.75
-0.43950565256793794,4312.5,1306656.25
-0.37550158715229287,4859.375,1311515.625
-0.31149752173664425,3781.25,1315296.875
-0.24749345632099917,4484.375,1319781.25
-0.18348939090535055,5515.625,1325296.875
-0.11948532548970192,5296.875,1330593.75
-0.05548126007405685,6171.875,1336765.625
0.008522805341591777,6796.875,1343562.5
0.07252687075723685,7640.625,1351203.125
0.13653093617288548,7312.5,1358515.625
0.2005350015885341,7515.625,1366031.25
0.2645390670041792,8296.875,1374328.125
0.3285431324198278,9375.0,1383703.125
0.3925471978354764,9531.25,1393234.375
0.4565512632511215,9640.625,1402875.0
0.5205553286667701,9937.5,1412812.5
0.5845593940824152,10609.375,1423421.875
0.6485634594980638,10312.5,1433734.375
0.7125675249137124,10468.75,1444203.125
0.7765715903293575,11781.25,1455984.375
0.8405756557450061,10750.0,1466734.375
0.9045797211606512,12140.625,1478875.0
0.9685837865762998,10828.125,1489703.125
1.0325878519919485,11234.375,1500937.5
1.0965919174075935,10531.25,1511468.75
1.1605959828232422,11437.5,1522906.25
1.2246000482388872,10781.25,1533687.5
1.2886041136545359,12515.625,1546203.125
1.3526081790701845,11890.625,1558093.75
1.4166122444858296,12187.5,1570281.25
1.4806163099014782,12125.0,1582406.25
1.5446203753171233,11906.25,1594312.5
1.6086244407327719,11796.875,1606109.375
1.6726285061484205,11796.875,1617906.25
1.7366325715640656,13328.125,1631234.375
1.8006366369797142,12921.875,1644156.25
1.8646407023953628,12750.0,1656906.25
1.928644767811008,13062.5,1669968.75
1.9926488332266565,12812.5,1682781.25
2.0566528986423016,12968.75,1695750.0
2.1206569640579502,12718.75,1708468.75
2.184661029473599,13328.125,1721796.875
2.248665094889244,13328.125,1735125.0
2.3126691603048926,13234.375,1748359.375
2.3766732257205376,13796.875,1762156.25
2.4406772911361863,13093.75,1775250.0
2.504681356551835,13437.5,1788687.5
2.56868542196748,13828.125,1802515.625
2.6326894873831286,13656.25,1816171.875
2.6966935527987737,14234.375,1830406.25
2.7606976182144223,13453.125,1843859.375
2.824701683630071,13390.625,1857250.0
2.888705749045716,12421.875,1869671.875
